FeedbackID,OrderID,CustomerID,FeedbackDate,Rating,Satisfaction,RecommendLikelihood,ProductCategory,Comments
FB00775,ORD01365,C0299,2/15/2023,4,Satisfied,7,Lifestyle Goods,"Good product, works as expected."
FB00749,ORD00269,C0211,2/15/2023,5,Very Satisfied,10,Home Appliances,Best purchase I have made this year!
FB00611,ORD01764,C0066,2/16/2023,5,Very Satisfied,9,Home Appliances,Product exceeded my expectations.
FB00883,ORD01904,C0258,2/16/2023,4,Satisfied,8,Home Appliances,Meets my needs perfectly.
FB00984,ORD01716,C0283,2/16/2023,5,Very Satisfied,9,Electronics,Will definitely buy again.
FB00436,ORD02090,C0104,2/16/2023,4,Satisfied,7,Electronics,"Good product, works as expected."
FB00747,ORD00476,C0024,2/18/2023,4,Satisfied,8,Electronics,Meets my needs perfectly.
FB00159,ORD00217,C0030,2/19/2023,2,Dissatisfied,5,Home Appliances,Delivery was delayed.
FB00756,ORD00323,C0326,2/19/2023,4,Satisfied,7,Home Appliances,Meets my needs perfectly.
FB00123,ORD00359,C0373,2/24/2023,1,Very Dissatisfied,3,Lifestyle Goods,Very disappointed with the quality.
FB00394,ORD00060,C0485,2/25/2023,4,Satisfied,9,Electronics,"Product is fine, delivery was on time."
FB00563,ORD01538,C0475,2/25/2023,3,Neutral,5,Lifestyle Goods,No complaints but not impressed either.
FB00444,ORD01544,C0284,2/25/2023,1,Very Dissatisfied,1,Lifestyle Goods,Product arrived damaged.
FB00595,ORD02315,C0394,2/26/2023,4,Satisfied,9,Electronics,Satisfied with the purchase.
FB00685,ORD02296,C0354,2/26/2023,4,Satisfied,7,Home Appliances,Satisfied with the purchase.
FB00506,ORD02279,C0312,2/26/2023,5,Very Satisfied,9,Lifestyle Goods,Great value for money.
FB00271,ORD01505,C0260,2/27/2023,4,Satisfied,8,Electronics,Meets my needs perfectly.
FB00048,ORD00637,C0126,2/27/2023,4,Satisfied,8,Lifestyle Goods,Happy with the quality.
FB00812,ORD02042,C0443,3/2/2023,2,Dissatisfied,4,Lifestyle Goods,Delivery was delayed.
FB00440,ORD01520,C0419,3/6/2023,4,Satisfied,8,Electronics,"Good product, works as expected."
FB00841,ORD00603,C0233,3/6/2023,5,Very Satisfied,9,Electronics,Product exceeded my expectations.
FB00678,ORD00096,C0065,3/7/2023,3,Neutral,7,Lifestyle Goods,No complaints but not impressed either.
FB00365,ORD00136,C0496,3/8/2023,4,Satisfied,7,Electronics,"Product is fine, delivery was on time."
FB00264,ORD02229,C0321,3/8/2023,5,Very Satisfied,9,Electronics,Product exceeded my expectations.
FB00100,ORD00362,C0039,3/10/2023,5,Very Satisfied,9,Lifestyle Goods,Will definitely buy again.
FB00375,ORD00412,C0426,3/11/2023,3,Neutral,7,Electronics,"Average quality, expected more."
FB00025,ORD01278,C0045,3/12/2023,2,Dissatisfied,3,Home Appliances,Delivery was delayed.
FB00210,ORD01313,C0264,3/12/2023,2,Dissatisfied,3,Lifestyle Goods,Product quality could be better.
FB00139,ORD00544,C0465,3/13/2023,4,Satisfied,8,Lifestyle Goods,Satisfied with the purchase.
FB00909,ORD02353,C0150,3/15/2023,5,Very Satisfied,10,Home Appliances,Product exceeded my expectations.
FB00573,ORD01261,C0431,3/15/2023,2,Dissatisfied,4,Home Appliances,Not what I expected from the description.
FB00665,ORD01487,C0134,3/16/2023,5,Very Satisfied,9,Lifestyle Goods,Excellent product quality! Highly recommend.
FB00316,ORD02380,C0158,3/17/2023,5,Very Satisfied,10,Electronics,Will definitely buy again.
FB00579,ORD00872,C0296,3/17/2023,4,Satisfied,8,Electronics,"Product is fine, delivery was on time."
FB00065,ORD00105,C0246,3/17/2023,3,Neutral,6,Lifestyle Goods,"Average quality, expected more."
FB00557,ORD01933,C0111,3/17/2023,4,Satisfied,8,Lifestyle Goods,Happy with the quality.
FB00032,ORD00127,C0047,3/17/2023,4,Satisfied,7,Lifestyle Goods,Happy with the quality.
FB00491,ORD01224,C0176,3/19/2023,4,Satisfied,9,Electronics,"Good product, works as expected."
FB00609,ORD01782,C0118,3/19/2023,5,Very Satisfied,9,Home Appliances,Great value for money.
FB00918,ORD01651,C0028,3/20/2023,5,Very Satisfied,10,Electronics,Best purchase I have made this year!
FB00820,ORD01873,C0196,3/20/2023,4,Satisfied,8,Lifestyle Goods,Happy with the quality.
FB00068,ORD01834,C0135,3/21/2023,4,Satisfied,9,Electronics,"Good product, works as expected."
FB00556,ORD01412,C0422,3/21/2023,4,Satisfied,7,Electronics,"Product is fine, delivery was on time."
FB00833,ORD00820,C0420,3/22/2023,4,Satisfied,9,Lifestyle Goods,"Product is fine, delivery was on time."
FB00056,ORD00385,C0232,3/22/2023,4,Satisfied,9,Electronics,Happy with the quality.
FB00305,ORD02097,C0007,3/23/2023,4,Satisfied,7,Lifestyle Goods,"Good product, works as expected."
FB00122,ORD01648,C0383,3/23/2023,2,Dissatisfied,3,Lifestyle Goods,Delivery was delayed.
FB00900,ORD01952,C0041,3/24/2023,4,Satisfied,8,Electronics,"Good product, works as expected."
FB00891,ORD00706,C0484,3/24/2023,4,Satisfied,8,Lifestyle Goods,Happy with the quality.
FB00810,ORD02010,C0094,3/24/2023,4,Satisfied,7,Electronics,Happy with the quality.
FB00012,ORD02099,C0240,3/25/2023,5,Very Satisfied,10,Lifestyle Goods,Product exceeded my expectations.
FB00936,ORD00008,C0227,3/26/2023,4,Satisfied,7,Home Appliances,Meets my needs perfectly.
FB00165,ORD00527,C0178,3/26/2023,3,Neutral,7,Lifestyle Goods,"Product is okay, nothing special."
FB00333,ORD01746,C0265,3/26/2023,4,Satisfied,7,Electronics,"Product is fine, delivery was on time."
FB00093,ORD01017,C0009,3/27/2023,4,Satisfied,7,Home Appliances,"Good product, works as expected."
FB00280,ORD02004,C0217,3/28/2023,3,Neutral,5,Lifestyle Goods,"Product is okay, nothing special."
FB00148,ORD00181,C0204,3/29/2023,4,Satisfied,9,Lifestyle Goods,Meets my needs perfectly.
FB00237,ORD01094,C0298,3/29/2023,4,Satisfied,9,Electronics,Meets my needs perfectly.
FB00538,ORD00405,C0065,3/30/2023,5,Very Satisfied,9,Home Appliances,Product exceeded my expectations.
FB00422,ORD00417,C0129,3/30/2023,4,Satisfied,7,Electronics,"Good product, works as expected."
FB00130,ORD00351,C0373,3/30/2023,3,Neutral,7,Home Appliances,"Product is okay, nothing special."
FB00639,ORD00751,C0154,3/31/2023,2,Dissatisfied,4,Electronics,Not what I expected from the description.
FB00317,ORD00374,C0294,4/1/2023,4,Satisfied,7,Electronics,Meets my needs perfectly.
FB00088,ORD01803,C0146,4/1/2023,3,Neutral,5,Home Appliances,No complaints but not impressed either.
FB00916,ORD01146,C0144,4/1/2023,3,Neutral,5,Home Appliances,"Product is okay, nothing special."
FB00734,ORD00832,C0056,4/2/2023,4,Satisfied,7,Lifestyle Goods,Meets my needs perfectly.
FB00247,ORD01066,C0293,4/2/2023,3,Neutral,7,Home Appliances,No complaints but not impressed either.
FB00845,ORD00999,C0128,4/2/2023,5,Very Satisfied,10,Home Appliances,Will definitely buy again.
FB00212,ORD00664,C0473,4/3/2023,2,Dissatisfied,3,Home Appliances,Had some issues with the product.
FB00949,ORD00786,C0372,4/4/2023,5,Very Satisfied,10,Lifestyle Goods,Fast delivery and great customer service.
FB00345,ORD01241,C0151,4/5/2023,4,Satisfied,9,Lifestyle Goods,Meets my needs perfectly.
FB00513,ORD02498,C0112,4/5/2023,5,Very Satisfied,10,Lifestyle Goods,Great value for money.
FB00131,ORD00163,C0140,4/6/2023,4,Satisfied,8,Home Appliances,Meets my needs perfectly.
FB00121,ORD00191,C0224,4/6/2023,2,Dissatisfied,5,Lifestyle Goods,Had some issues with the product.
FB00652,ORD01133,C0464,4/6/2023,5,Very Satisfied,10,Lifestyle Goods,Fast delivery and great customer service.
FB00625,ORD02052,C0128,4/6/2023,5,Very Satisfied,10,Electronics,Product exceeded my expectations.
FB00989,ORD00768,C0396,4/9/2023,3,Neutral,7,Home Appliances,"Product is okay, nothing special."
FB00541,ORD00252,C0331,4/9/2023,3,Neutral,5,Lifestyle Goods,It works but could be better.
FB00063,ORD01227,C0174,4/9/2023,4,Satisfied,9,Home Appliances,Happy with the quality.
FB00870,ORD00568,C0206,4/9/2023,5,Very Satisfied,10,Lifestyle Goods,Product exceeded my expectations.
FB00597,ORD01207,C0421,4/9/2023,2,Dissatisfied,4,Lifestyle Goods,Had some issues with the product.
FB00791,ORD01664,C0145,4/10/2023,5,Very Satisfied,9,Lifestyle Goods,Excellent product quality! Highly recommend.
FB00525,ORD02342,C0026,4/11/2023,2,Dissatisfied,4,Electronics,Customer service was slow to respond.
FB00454,ORD01175,C0029,4/11/2023,4,Satisfied,8,Electronics,Satisfied with the purchase.
FB00509,ORD02172,C0205,4/11/2023,5,Very Satisfied,10,Home Appliances,Fast delivery and great customer service.
FB00482,ORD01470,C0191,4/12/2023,4,Satisfied,9,Lifestyle Goods,"Product is fine, delivery was on time."
FB00721,ORD02087,C0268,4/12/2023,5,Very Satisfied,9,Lifestyle Goods,Excellent product quality! Highly recommend.
FB00808,ORD00993,C0460,4/12/2023,4,Satisfied,9,Electronics,"Product is fine, delivery was on time."
FB00612,ORD00545,C0334,4/12/2023,5,Very Satisfied,9,Home Appliances,Excellent product quality! Highly recommend.
FB00745,ORD01090,C0023,4/12/2023,4,Satisfied,7,Lifestyle Goods,"Good product, works as expected."
FB00616,ORD00919,C0225,4/12/2023,4,Satisfied,7,Lifestyle Goods,Satisfied with the purchase.
FB00700,ORD01988,C0227,4/13/2023,3,Neutral,6,Electronics,"Average quality, expected more."
FB00694,ORD01494,C0222,4/13/2023,5,Very Satisfied,10,Lifestyle Goods,Great value for money.
FB00945,ORD00775,C0003,4/13/2023,4,Satisfied,9,Electronics,Happy with the quality.
FB00699,ORD00945,C0207,4/15/2023,5,Very Satisfied,9,Home Appliances,Product exceeded my expectations.
FB00202,ORD02144,C0293,4/15/2023,4,Satisfied,8,Home Appliances,Meets my needs perfectly.
FB00899,ORD02458,C0417,4/15/2023,4,Satisfied,9,Lifestyle Goods,Satisfied with the purchase.
FB00826,ORD00933,C0070,4/15/2023,5,Very Satisfied,10,Lifestyle Goods,Will definitely buy again.
FB00568,ORD02034,C0267,4/15/2023,4,Satisfied,8,Lifestyle Goods,"Product is fine, delivery was on time."
FB00462,ORD01854,C0282,4/16/2023,4,Satisfied,9,Electronics,Happy with the quality.
FB00278,ORD00840,C0133,4/18/2023,4,Satisfied,7,Electronics,Satisfied with the purchase.
FB00975,ORD01441,C0262,4/19/2023,4,Satisfied,7,Lifestyle Goods,Satisfied with the purchase.
FB00744,ORD00129,C0382,4/19/2023,5,Very Satisfied,10,Lifestyle Goods,Best purchase I have made this year!
FB00281,ORD01932,C0354,4/20/2023,5,Very Satisfied,9,Electronics,Fast delivery and great customer service.
FB00767,ORD00569,C0095,4/21/2023,5,Very Satisfied,10,Electronics,Best purchase I have made this year!
FB00430,ORD02475,C0167,4/21/2023,4,Satisfied,9,Home Appliances,"Good product, works as expected."
FB00182,ORD01232,C0170,4/21/2023,3,Neutral,6,Electronics,Decent product for the price.
FB00686,ORD00260,C0260,4/21/2023,1,Very Dissatisfied,1,Lifestyle Goods,"Waste of money, would not recommend."
FB00998,ORD00116,C0407,4/22/2023,5,Very Satisfied,9,Lifestyle Goods,Excellent product quality! Highly recommend.
FB00255,ORD02217,C0463,4/24/2023,4,Satisfied,8,Home Appliances,Happy with the quality.
FB00411,ORD00306,C0398,4/25/2023,1,Very Dissatisfied,2,Electronics,Very disappointed with the quality.
FB00740,ORD01706,C0090,4/25/2023,5,Very Satisfied,9,Lifestyle Goods,Will definitely buy again.
FB00983,ORD00141,C0180,4/26/2023,5,Very Satisfied,9,Lifestyle Goods,Great value for money.
FB00477,ORD00138,C0296,4/26/2023,4,Satisfied,9,Home Appliances,Happy with the quality.
FB00619,ORD00091,C0339,4/26/2023,4,Satisfied,8,Lifestyle Goods,Meets my needs perfectly.
FB00508,ORD02214,C0010,4/26/2023,5,Very Satisfied,9,Electronics,Great value for money.
FB00304,ORD00462,C0221,4/27/2023,5,Very Satisfied,10,Electronics,Fast delivery and great customer service.
FB00788,ORD00631,C0017,4/28/2023,5,Very Satisfied,9,Lifestyle Goods,Great value for money.
FB00564,ORD01055,C0458,4/28/2023,4,Satisfied,8,Home Appliances,"Good product, works as expected."
FB00695,ORD01537,C0388,4/28/2023,4,Satisfied,9,Home Appliances,"Good product, works as expected."
FB00799,ORD02117,C0086,5/1/2023,2,Dissatisfied,3,Lifestyle Goods,Had some issues with the product.
FB00569,ORD02373,C0378,5/2/2023,4,Satisfied,8,Lifestyle Goods,Happy with the quality.
FB00262,ORD00471,C0066,5/5/2023,5,Very Satisfied,10,Electronics,Will definitely buy again.
FB00275,ORD01443,C0402,5/5/2023,4,Satisfied,8,Electronics,Happy with the quality.
FB00272,ORD00879,C0179,5/6/2023,5,Very Satisfied,10,Home Appliances,Great value for money.
FB00727,ORD01046,C0395,5/8/2023,4,Satisfied,9,Lifestyle Goods,Happy with the quality.
FB00890,ORD00920,C0398,5/8/2023,4,Satisfied,8,Lifestyle Goods,Satisfied with the purchase.
FB00648,ORD01464,C0049,5/9/2023,5,Very Satisfied,10,Lifestyle Goods,Product exceeded my expectations.
FB00815,ORD01036,C0233,5/9/2023,4,Satisfied,7,Home Appliances,"Good product, works as expected."
FB00603,ORD02470,C0180,5/10/2023,4,Satisfied,8,Home Appliances,Happy with the quality.
FB00857,ORD00676,C0383,5/11/2023,4,Satisfied,8,Lifestyle Goods,Happy with the quality.
FB00207,ORD01044,C0384,5/14/2023,3,Neutral,5,Lifestyle Goods,Decent product for the price.
FB00019,ORD01424,C0188,5/14/2023,4,Satisfied,9,Lifestyle Goods,"Product is fine, delivery was on time."
FB00958,ORD01534,C0477,5/15/2023,4,Satisfied,7,Lifestyle Goods,Satisfied with the purchase.
FB00738,ORD00246,C0305,5/16/2023,1,Very Dissatisfied,2,Lifestyle Goods,"Waste of money, would not recommend."
FB00797,ORD02155,C0446,5/18/2023,5,Very Satisfied,9,Lifestyle Goods,Fast delivery and great customer service.
FB00341,ORD00400,C0314,5/18/2023,3,Neutral,5,Lifestyle Goods,Decent product for the price.
FB00470,ORD00936,C0360,5/18/2023,5,Very Satisfied,10,Lifestyle Goods,Excellent product quality! Highly recommend.
FB00719,ORD00624,C0373,5/19/2023,3,Neutral,7,Electronics,No complaints but not impressed either.
FB00955,ORD01316,C0400,5/20/2023,5,Very Satisfied,10,Lifestyle Goods,Will definitely buy again.
FB00347,ORD01273,C0022,5/20/2023,3,Neutral,7,Home Appliances,"Average quality, expected more."
FB00051,ORD01974,C0270,5/20/2023,4,Satisfied,8,Lifestyle Goods,Satisfied with the purchase.
FB00358,ORD00334,C0033,5/21/2023,4,Satisfied,7,Lifestyle Goods,"Product is fine, delivery was on time."
FB00320,ORD01549,C0054,5/22/2023,1,Very Dissatisfied,2,Home Appliances,Product arrived damaged.
FB00629,ORD00937,C0128,5/23/2023,4,Satisfied,9,Electronics,Satisfied with the purchase.
FB00933,ORD00532,C0056,5/23/2023,4,Satisfied,8,Home Appliances,Happy with the quality.
FB00878,ORD01556,C0071,5/25/2023,3,Neutral,7,Home Appliances,"Product is okay, nothing special."
FB00574,ORD01013,C0199,5/25/2023,5,Very Satisfied,9,Lifestyle Goods,Fast delivery and great customer service.
FB00959,ORD01339,C0332,5/25/2023,4,Satisfied,8,Electronics,Meets my needs perfectly.
FB00921,ORD01902,C0028,5/25/2023,5,Very Satisfied,9,Home Appliances,Great value for money.
FB00417,ORD00985,C0329,5/26/2023,4,Satisfied,7,Lifestyle Goods,Satisfied with the purchase.
FB00376,ORD01668,C0383,5/26/2023,1,Very Dissatisfied,3,Home Appliances,Does not work as advertised.
FB00334,ORD01147,C0215,5/26/2023,4,Satisfied,8,Electronics,Meets my needs perfectly.
FB00011,ORD00941,C0296,5/27/2023,5,Very Satisfied,9,Lifestyle Goods,Will definitely buy again.
FB00746,ORD00035,C0403,5/27/2023,5,Very Satisfied,9,Home Appliances,Will definitely buy again.
FB00082,ORD01822,C0438,5/27/2023,5,Very Satisfied,9,Lifestyle Goods,Best purchase I have made this year!
FB00516,ORD02174,C0391,5/28/2023,3,Neutral,7,Electronics,It works but could be better.
FB00855,ORD00805,C0154,5/28/2023,1,Very Dissatisfied,1,Home Appliances,Very disappointed with the quality.
FB00505,ORD00755,C0405,5/28/2023,2,Dissatisfied,4,Lifestyle Goods,Had some issues with the product.
FB00437,ORD01542,C0494,5/29/2023,4,Satisfied,8,Home Appliances,"Product is fine, delivery was on time."
FB00136,ORD00032,C0047,5/29/2023,2,Dissatisfied,3,Lifestyle Goods,Had some issues with the product.
FB00164,ORD00258,C0080,5/29/2023,4,Satisfied,7,Electronics,Happy with the quality.
FB00126,ORD00790,C0138,5/30/2023,5,Very Satisfied,10,Electronics,Great value for money.
FB00183,ORD01670,C0153,5/31/2023,2,Dissatisfied,5,Lifestyle Goods,Delivery was delayed.
FB00329,ORD00984,C0196,5/31/2023,4,Satisfied,9,Lifestyle Goods,Happy with the quality.
FB00151,ORD00887,C0262,6/1/2023,4,Satisfied,7,Home Appliances,"Good product, works as expected."
FB00070,ORD01417,C0176,6/1/2023,3,Neutral,7,Lifestyle Goods,"Average quality, expected more."
FB00882,ORD00822,C0325,6/2/2023,3,Neutral,6,Electronics,Decent product for the price.
FB00913,ORD00525,C0149,6/2/2023,3,Neutral,5,Electronics,It works but could be better.
FB00107,ORD01673,C0064,6/2/2023,4,Satisfied,9,Electronics,"Product is fine, delivery was on time."
FB00459,ORD00440,C0161,6/3/2023,1,Very Dissatisfied,3,Lifestyle Goods,Product arrived damaged.
FB00517,ORD00645,C0339,6/3/2023,5,Very Satisfied,10,Home Appliances,Will definitely buy again.
FB00769,ORD00994,C0386,6/5/2023,5,Very Satisfied,10,Electronics,Will definitely buy again.
FB00313,ORD02026,C0029,6/5/2023,4,Satisfied,9,Electronics,"Product is fine, delivery was on time."
FB00485,ORD00479,C0311,6/8/2023,3,Neutral,6,Lifestyle Goods,No complaints but not impressed either.
FB00234,ORD01026,C0143,6/9/2023,3,Neutral,7,Electronics,No complaints but not impressed either.
FB00189,ORD00089,C0067,6/9/2023,2,Dissatisfied,3,Home Appliances,Not what I expected from the description.
FB00825,ORD00067,C0454,6/10/2023,3,Neutral,6,Home Appliances,"Product is okay, nothing special."
FB00587,ORD00110,C0034,6/11/2023,4,Satisfied,8,Electronics,Happy with the quality.
FB00140,ORD00297,C0071,6/11/2023,5,Very Satisfied,10,Electronics,Best purchase I have made this year!
FB00178,ORD01832,C0242,6/11/2023,3,Neutral,6,Lifestyle Goods,"Average quality, expected more."
FB00494,ORD02120,C0274,6/12/2023,3,Neutral,6,Home Appliances,Decent product for the price.
FB00198,ORD01970,C0044,6/12/2023,5,Very Satisfied,10,Lifestyle Goods,Fast delivery and great customer service.
FB00220,ORD01990,C0156,6/13/2023,3,Neutral,6,Electronics,It works but could be better.
FB00185,ORD00502,C0212,6/13/2023,1,Very Dissatisfied,3,Lifestyle Goods,"Waste of money, would not recommend."
FB00846,ORD02020,C0008,6/14/2023,3,Neutral,7,Home Appliances,"Average quality, expected more."
FB00802,ORD00304,C0281,6/15/2023,2,Dissatisfied,4,Lifestyle Goods,Had some issues with the product.
FB00787,ORD01455,C0487,6/15/2023,5,Very Satisfied,10,Electronics,Best purchase I have made this year!
FB00352,ORD01925,C0243,6/15/2023,4,Satisfied,9,Lifestyle Goods,Meets my needs perfectly.
FB00030,ORD00773,C0379,6/16/2023,2,Dissatisfied,4,Home Appliances,Had some issues with the product.
FB00718,ORD00824,C0367,6/17/2023,4,Satisfied,8,Home Appliances,Meets my needs perfectly.
FB00382,ORD01849,C0045,6/17/2023,4,Satisfied,8,Electronics,Meets my needs perfectly.
FB00009,ORD01756,C0096,6/17/2023,4,Satisfied,8,Electronics,Satisfied with the purchase.
FB00659,ORD00961,C0226,6/19/2023,2,Dissatisfied,4,Home Appliances,Product quality could be better.
FB00458,ORD01314,C0034,6/19/2023,4,Satisfied,7,Electronics,Happy with the quality.
FB00860,ORD01830,C0200,6/21/2023,4,Satisfied,9,Lifestyle Goods,Meets my needs perfectly.
FB00071,ORD01608,C0021,6/21/2023,5,Very Satisfied,10,Electronics,Best purchase I have made this year!
FB00105,ORD01333,C0438,6/21/2023,2,Dissatisfied,3,Home Appliances,Not what I expected from the description.
FB00671,ORD00372,C0348,6/21/2023,4,Satisfied,7,Home Appliances,"Product is fine, delivery was on time."
FB00960,ORD00450,C0417,6/22/2023,5,Very Satisfied,10,Home Appliances,Excellent product quality! Highly recommend.
FB00843,ORD01667,C0274,6/22/2023,2,Dissatisfied,5,Electronics,Customer service was slow to respond.
FB00816,ORD01728,C0092,6/25/2023,2,Dissatisfied,5,Home Appliances,Customer service was slow to respond.
FB00511,ORD01054,C0131,6/25/2023,2,Dissatisfied,5,Lifestyle Goods,Customer service was slow to respond.
FB00774,ORD01949,C0328,6/26/2023,3,Neutral,6,Lifestyle Goods,"Average quality, expected more."
FB00407,ORD00509,C0236,6/29/2023,4,Satisfied,7,Lifestyle Goods,"Product is fine, delivery was on time."
FB00784,ORD02318,C0445,6/29/2023,4,Satisfied,7,Electronics,Happy with the quality.
FB00976,ORD01397,C0296,6/29/2023,4,Satisfied,9,Lifestyle Goods,"Good product, works as expected."
FB00920,ORD01174,C0252,6/30/2023,4,Satisfied,7,Electronics,Satisfied with the purchase.
FB00069,ORD00548,C0214,7/1/2023,2,Dissatisfied,4,Lifestyle Goods,Delivery was delayed.
FB00982,ORD01906,C0235,7/1/2023,4,Satisfied,9,Electronics,"Good product, works as expected."
FB00199,ORD01197,C0374,7/2/2023,3,Neutral,7,Electronics,"Product is okay, nothing special."
FB00997,ORD01461,C0448,7/2/2023,4,Satisfied,8,Electronics,"Product is fine, delivery was on time."
FB00153,ORD00929,C0166,7/3/2023,2,Dissatisfied,4,Lifestyle Goods,Customer service was slow to respond.
FB00092,ORD01548,C0375,7/3/2023,5,Very Satisfied,9,Lifestyle Goods,Great value for money.
FB00605,ORD00422,C0304,7/3/2023,4,Satisfied,9,Home Appliances,Happy with the quality.
FB00814,ORD01698,C0003,7/3/2023,5,Very Satisfied,9,Home Appliances,Will definitely buy again.
FB00696,ORD01476,C0058,7/3/2023,4,Satisfied,8,Electronics,"Product is fine, delivery was on time."
FB00173,ORD01787,C0244,7/4/2023,2,Dissatisfied,4,Lifestyle Goods,Had some issues with the product.
FB00653,ORD01682,C0344,7/6/2023,4,Satisfied,7,Lifestyle Goods,Satisfied with the purchase.
FB00821,ORD02443,C0037,7/7/2023,4,Satisfied,7,Electronics,Meets my needs perfectly.
FB00925,ORD01882,C0244,7/8/2023,4,Satisfied,7,Home Appliances,Meets my needs perfectly.
FB00676,ORD01615,C0267,7/9/2023,5,Very Satisfied,10,Electronics,Will definitely buy again.
FB00498,ORD02369,C0453,7/10/2023,1,Very Dissatisfied,1,Home Appliances,"Waste of money, would not recommend."
FB00613,ORD02385,C0100,7/11/2023,3,Neutral,5,Home Appliances,No complaints but not impressed either.
FB00149,ORD01601,C0493,7/12/2023,4,Satisfied,7,Electronics,"Product is fine, delivery was on time."
FB00163,ORD00890,C0250,7/12/2023,3,Neutral,7,Lifestyle Goods,"Product is okay, nothing special."
FB00514,ORD01377,C0485,7/14/2023,5,Very Satisfied,10,Lifestyle Goods,Fast delivery and great customer service.
FB00831,ORD00808,C0494,7/14/2023,5,Very Satisfied,10,Home Appliances,Will definitely buy again.
FB00768,ORD00615,C0394,7/14/2023,3,Neutral,5,Electronics,"Average quality, expected more."
FB00180,ORD01999,C0211,7/14/2023,4,Satisfied,7,Lifestyle Goods,Satisfied with the purchase.
FB00947,ORD00747,C0476,7/15/2023,2,Dissatisfied,4,Lifestyle Goods,Product quality could be better.
FB00824,ORD01920,C0293,7/17/2023,5,Very Satisfied,10,Electronics,Fast delivery and great customer service.
FB00110,ORD01373,C0151,7/18/2023,5,Very Satisfied,10,Electronics,Excellent product quality! Highly recommend.
FB00827,ORD00410,C0394,7/18/2023,3,Neutral,7,Electronics,"Average quality, expected more."
FB00339,ORD00266,C0426,7/19/2023,4,Satisfied,7,Lifestyle Goods,Happy with the quality.
FB00703,ORD00342,C0147,7/20/2023,4,Satisfied,7,Home Appliances,Meets my needs perfectly.
FB00539,ORD02258,C0055,7/20/2023,4,Satisfied,8,Electronics,Happy with the quality.
FB00395,ORD02259,C0014,7/21/2023,5,Very Satisfied,9,Lifestyle Goods,Product exceeded my expectations.
FB00321,ORD00666,C0027,7/21/2023,4,Satisfied,8,Electronics,"Good product, works as expected."
